model,rank,params,mean_cv_log_loss,mean_cv_top1,mean_cv_ece,std_cv_log_loss,mean_fit_time,selected,is_default,search_skipped,skip_reason
logistic,1,"{""C"":4.0,""class_weight"":null}",0.11288285300264518,0.9883753278027044,0.07907138581326258,0.001543133515122583,1.9315979480743408,True,False,False,
logistic,2,"{""C"":2.0,""class_weight"":null}",0.13990802811729983,0.9897503434726324,0.10504918111421487,0.0010383630680163359,2.3293697834014893,False,False,False,
logistic,3,"{""C"":1.0,""class_weight"":null}",0.1807541235437998,0.9901252497226295,0.14019978832952854,0.000797816735318947,2.797535498936971,False,True,False,
logistic,4,"{""C"":0.5,""class_weight"":null}",0.2405270087741415,0.9908752028652082,0.1879723424367532,0.0007686231357149322,2.1735967795054116,False,False,False,
logistic,5,"{""C"":4.0,""class_weight"":""balanced""}",0.24445173923028382,0.9809999368983604,0.17089750612135357,0.0029167213526521455,1.9547863006591797,False,False,False,
logistic,6,"{""C"":2.0,""class_weight"":""balanced""}",0.30246342391384884,0.9816251400682942,0.21588546922135513,0.0020979567731678273,2.2199841340382895,False,False,False,
logistic,7,"{""C"":0.25,""class_weight"":null}",0.3272159832756328,0.99212514039646,0.2520846968708444,0.0005967413458756527,2.184392293294271,False,False,False,
logistic,8,"{""C"":1.0,""class_weight"":""balanced""}",0.38360392434410756,0.9831250932343135,0.274802791906922,0.0013598224636886653,2.7089803218841553,False,False,False,
logistic,9,"{""C"":0.5,""class_weight"":""balanced""}",0.48981308229029913,0.9830001088573606,0.34320319261634863,0.0013285719105735369,2.926266590754191,False,False,False,
logistic,10,"{""C"":0.25,""class_weight"":""balanced""}",0.6209584699930172,0.9841251557733828,0.4203998655667505,0.0007993113974584568,2.2370795408884683,False,False,False,
randomForest,1,"{""max_depth"":16,""max_features"":0.8,""min_samples_leaf"":2,""min_samples_split"":4,""n_estimators"":320}",0.06825787966200055,0.9857502808398012,0.031276956586187975,0.0013194616457008741,126.74980060259502,True,False,False,
randomForest,2,"{""max_depth"":null,""max_features"":0.6,""min_samples_leaf"":6,""min_samples_split"":8,""n_estimators"":240}",0.08014639626092328,0.9860002495937071,0.04176369264424912,0.0012613786151380606,75.12649726867676,False,False,False,
