stage,rank,logistic_weight,random_forest_weight,gradient_boosting_weight,log_loss,top1,ece,selected,search_skipped,skip_reason
coarse,1,0.0,0.2,0.8,0.0472271453558583,0.98475,0.008535926744920382,False,False,
coarse,2,0.0,0.25,0.75,0.04727379342952695,0.98575,0.010548708376336449,False,False,
coarse,3,0.0,0.15000000000000002,0.8500000000000001,0.047572643905002154,0.984625,0.006656162289710809,False,False,
coarse,4,0.0,0.30000000000000004,0.7000000000000001,0.04760344943433613,0.98625,0.01214461972827812,False,False,
coarse,5,0.05,0.15000000000000002,0.8,0.04801964950083735,0.985125,0.010519269915793059,False,False,
coarse,6,0.0,0.35000000000000003,0.65,0.04815422310044405,0.986625,0.014910138548964695,False,False,
coarse,7,0.05,0.2,0.75,0.048162397444334676,0.986,0.013134370968813903,False,False,
coarse,8,0.05,0.1,0.8500000000000001,0.048234355057930084,0.984875,0.008897738669570096,False,False,
coarse,9,0.0,0.1,0.9,0.04853297088516448,0.984,0.004582888866747797,False,False,
coarse,10,0.05,0.25,0.7000000000000001,0.04856432974475529,0.986625,0.01493298957205597,False,False,
coarse,11,0.0,0.4,0.6000000000000001,0.04888788505973618,0.9875,0.016648364380131515,False,False,
coarse,12,0.05,0.05,0.9,0.04901058391353877,0.984125,0.007270597792576126,False,False,
coarse,13,0.05,0.30000000000000004,0.65,0.04916993028614795,0.987125,0.017325991519511745,False,False,
coarse,14,0.1,0.1,0.8,0.04956486959039521,0.985,0.013130621317331113,False,False,
coarse,15,0.1,0.15000000000000002,0.75,0.04971379040808339,0.986125,0.015553991422083533,False,False,
coarse,16,0.0,0.45,0.55,0.049779611916181486,0.988125,0.0188641214606608,False,False,
coarse,17,0.1,0.05,0.8500000000000001,0.049783973507546625,0.98475,0.011145372581634862,False,False,
coarse,18,0.05,0.35000000000000003,0.6000000000000001,0.04994490004952447,0.9875,0.019336376715346076,False,False,
coarse,19,0.1,0.2,0.7000000000000001,0.050121755367959604,0.986875,0.01754768579725079,False,False,
coarse,20,0.1,0.0,0.9,0.050677477233469465,0.98425,0.008861871212730466,False,False,
coarse,21,0.0,0.05,0.9500000000000001,0.05071304419695361,0.98375,0.003078250176557801,False,False,
coarse,22,0.1,0.25,0.65,0.05073074322645086,0.98725,0.019751145798583905,False,False,
coarse,23,0.0,0.5,0.5,0.050812921016014374,0.988375,0.020661897405807653,False,False,
coarse,24,0.05,0.4,0.55,0.05086692804470998,0.988125,0.02130690210389545,False,False,
coarse,25,0.05,0.0,0.9500000000000001,0.05098620507004889,0.983875,0.005684767413605062,False,False,
coarse,26,0.15000000000000002,0.05,0.8,0.05138695674762903,0.98525,0.01517081300771519,False,False,
coarse,27,0.1,0.30000000000000004,0.6000000000000001,0.05150575472788873,0.987375,0.02240293772575739,False,False,
coarse,28,0.15000000000000002,0.1,0.75,0.0515082716592875,0.986125,0.017487764537255975,False,False,
coarse,29,0.15000000000000002,0.0,0.8500000000000001,0.05173608797976265,0.985125,0.01387967155134871,False,False,
coarse,30,0.15000000000000002,0.15000000000000002,0.7000000000000001,0.05190321003794397,0.986875,0.020210029333135895,False,False,
coarse,31,0.05,0.45,0.5,0.05192115750023968,0.988625,0.02335659439862732,False,False,
coarse,32,0.0,0.55,0.45,0.05197694990006786,0.988375,0.022186341261682313,False,False,
coarse,33,0.1,0.35000000000000003,0.55,0.05242426518913177,0.988375,0.02398704107835232,False,False,
